['2483', '17/09/23', 'Dubs Demotivation', 'By: robotchief', 'Waterflame - -Dance-Off-', '5⭐️ 2⚪ 175🔵', '94520175']
['2482', '16/09/23', 'QuoicouFlop', 'By: SushiiGD', 'DerpCat - Something Different (feat. Talurre)', '7⭐️ 3⚪ 275🔵', '94492050']
['2481', '15/09/23', 'Hurt', 'By: Adriam71', 'Namice - Space Ride', '5⭐️ 3⚪ 175🔵', '92592066']
['2480', '14/09/23', 'The Last Straw', 'By: Sebasthian 60', 'rajbeats - We Come In Peace', '5⭐️ 2⚪ 175🔵', '92094379']
['2479', '13/09/23', 'Heavy Cash', 'By: Szilu', 'Ocular Nebula - The Lopez', '5⭐️ 3⚪ 175🔵', '94378236']
['2478', '12/09/23', 'hullabaloo here', 'By: Buziris', 'DPZ0 - Count That', '9⭐️ 0⚪ 425🔵', '94353525']
['2477', '11/09/23', 'Celestial Starburst', 'By: Polarbeahr', 'Caro - I Forgor (ft. IllogicalR)', '7⭐️ 3⚪ 275🔵', '94269073']
['2476', '10/09/23', 'CONTROL', 'By: R3XX3R', 'rat9352 - Control', '7⭐️ 2⚪ 275🔵', '94266027']
['2475', '09/09/23', 'Onsaemiro', 'By: YunHaSeu14', '1f1n1ty - Ivory Dance', '6⭐️ 3⚪ 225🔵', '94251548']
['2474', '08/09/23', 'dear moon', 'By: gustavov3', 'Paper Skies - Flare', '6⭐️ 3⚪ 225🔵', '93872161']
['2473', '07/09/23', 'digital glow', 'By: Wilz', 'Panda Eyes - Insomnia', '7⭐️ 3⚪ 275🔵', '93823821']
['2472', '06/09/23', 'Gamekid', 'By: Split72', 'danjing - wendys frosty', '6⭐️ 3⚪ 225🔵', '93969753']
['2471', '05/09/23', 'QVYJH', 'By: Jumping Theory', 'Waterflame - -Running From Demons-', '8⭐️ 0⚪ 350🔵', '94144575']
['2470', '04/09/23', 'Subterranean Plant', 'By: Szilu', 'Ocular Nebula - The Signalist', '7⭐️ 3⚪ 275🔵', '94116045']
['2469', '03/09/23', 'Mallet', 'By: Be1ja', 'ALGOfficial - Mallet (NGADM 2023)', '8⭐️ 3⚪ 350🔵', '93758124']
['2468', '02/09/23', 'Asked Calmly', 'By: DarkEvan', 'Namorog x Syrge - Ferð', '5⭐️ 1⚪ 175🔵', '93358939']
['2467', '01/09/23', 'Ghost food', 'By: shodai1128', 'Moe Shop - GHOST FOOD (feat. TORIENA) (Rairiku Bootleg)', '9⭐️ 1⚪ 425🔵', '93875932']
['2466', '31/08/23', 'Rainbow Gun', 'By: AndrixGD', 'Sharks - Rainbow Gun', '6⭐️ 1⚪ 225🔵', '93907599']
['2465', '30/08/23', 'Hidden Undergrowth', 'By: balli', 'meganeko - Pyroclastic Horizon', '7⭐️ 1⚪ 275🔵', '93944425']
['2464', '29/08/23', 'Shards of Cyberse', 'By: BrexXes', 'Skybreak - Soul Shards (feat. DNAKM)', '6⭐️ 3⚪ 225🔵', '93640059']
['2463', '28/08/23', 'Robot Uprising', 'By: Ficelo', 'lukhash - Robot Uprising', '9⭐️ 3⚪ 425🔵', '93873604']
